image_link,group_id,entity_name,entity_value,Extracted
https://m.media-amazon.com/images/I/51rOjk+XCEL.jpg,675317,depth,56.0 millimetre,56mm/2.21 - 37mm/1.46
https://m.media-amazon.com/images/I/5193Qm2eIvL.jpg,675317,width,25.0 millimetre,116mm/4.5in I 180mm/7in Depth: 4.8mm
https://m.media-amazon.com/images/I/61+3GFnpu5L.jpg,493268,depth,10.2 centimetre,"A - a 10.2cm/4in - S WIDE RANGE OF APPLICATIONS Suitable for kitchen, bathroom and outdoor surfaces, including: wheels, carpets, interior 10.2cm/4in decoration, glass, leather, oathtubs showers, tiles, etc 172"
https://m.media-amazon.com/images/I/615Y6Hm0MHL.jpg,558806,height,9.22 inch,5.7 in / 14.5 cm 3 a  -  1 E 9.2 in/ 23.3 cm
https://m.media-amazon.com/images/I/61csA57PYkL.jpg,192132,item_weight,3.0 gram,"Rich In Color Fun And Interesting Fun Picture Matching Game taen S90 16  F  7 - 6 / Lane SETS / ene 34 o & - 4  & o C - o - . C -2.75"" -"
https://m.media-amazon.com/images/I/51C6QTjKMRL.jpg,433914,width,50.0 millimetre,50mm B E 2 44mm ooot a Hss - 35mm E 32mm - r 25mm 22myn 4 6.35mm
https://m.media-amazon.com/images/I/71Z4JztQSgL.jpg,271537,voltage,"[110.0, 120.0] volt",SPECIFICATION Outlet Inlet  Voltage Power Max Flow Rate Cord Length Quiet Working 110-120V 1500W/2.0HP 110GPM 3FT 60DB
https://m.media-amazon.com/images/I/51bBJvwb+CL.jpg,894599,depth,165.0 millimetre,2.6in 65MM 8X 165MM Rubber 4 S Anti-slip handle Optical glass
https://m.media-amazon.com/images/I/71XxqG4WbSL.jpg,639090,item_weight,376.0 gram,"GODIVA Belgium 1926 MASTERPIECES  6 - HIASDISIONIENL OF AN ASSORTMENT CHOCOLATES LEGENDARY DARK CHOCOLATE CARAMEL LION OF BELGIUM, HAZELNUTO OYSTER MILK CHOCOLATE GANACHE HEART, MILK CHOCOLATE I I I  3%h 7 (376g"
https://m.media-amazon.com/images/I/81xBQQB2q9L.jpg,529606,item_weight,623 gram,YANKEe CANDLE MOONLIT COVE . 1969 CRIQUE AU CLAIR DE LUNE SR DEPUIS FAIRE DE 623g
https://m.media-amazon.com/images/I/41InQC10+LL.jpg,369753,item_volume,24.0 cup,"BEST SOLUTION FOR Acnes & Pimples Treatment! For Any Age Skin Type Can Be Used By Woman, Man & Child Variety of Size - - - - 24 UP TO 24HR OF USE HOURS"
https://m.media-amazon.com/images/I/51TMJqdz4dL.jpg,866516,width,15.0 centimetre,15cm/5.9in
https://m.media-amazon.com/images/I/61F05qvE3iL.jpg,638301,depth,30.0 inch,"PRODUCT PRESENTATION Presentation GLASS LCD SCREEN PROTECTOR Custom Designed Itis tailored made for Can. 6D Mark II to fit the LCD perfectly. Ultra-Thin 10.3 A 2.5D) Ultra-thin Ultra- thin 25D1 Round Edges Although the GSP protector has multiple layers of protective materials, it is ultra-thin, and its thickness is mere 0.01(0.3mm). Designed with 2.5D round edge, the protector provides a very comfortable and smooth surface to grip, helping prevent the edges from scratching your fingers during installation. mminch 1 DD 2.50 OFF ON MERO"
https://m.media-amazon.com/images/I/61HXHFEEeeL.jpg,273748,item_weight,13.0 gram,FAENO ONNO ONNOA J3A3JO B a - (CHEVEN CuNO
https://m.media-amazon.com/images/I/516gk-pqqlL.jpg,752266,voltage,511.0 volt,Solar led lights -LED51 e Solar LED-Leuchten Lumières LED Solaires Luci a LED Solari a Luces LED Solares CEFG 6 8 - ( WA Made in China
