image_link,group_id,entity_name,entity_value,Extracted
https://m.media-amazon.com/images/I/51rOjk+XCEL.jpg,675317,depth,56.0 millimetre,"56mm/2.215 37mm/1.46"""
https://m.media-amazon.com/images/I/5193Qm2eIvL.jpg,675317,width,25.0 millimetre,
https://m.media-amazon.com/images/I/61+3GFnpu5L.jpg,493268,depth,10.2 centimetre,"10.2cm/4in WIDE RANGE OF APPLICATIONS Suitabyle icwr kifc hiet. balthroo)r and (utdoor surfaces, Incluchng: wheeks, (rpets: uitfric)r 10.2cm/4in decoratic)r), Glass, leather, hathtubs showvers, tiles etc"
https://m.media-amazon.com/images/I/615Y6Hm0MHL.jpg,558806,height,9.22 inch,5 7 in 14 5 cm dHappy_ Birthoav  9 2 in : 23 3 cm
https://m.media-amazon.com/images/I/61csA57PYkL.jpg,192132,item_weight,3.0 gram,"Rich In Color Fun And Interesting Fun Picture Matching Game 5 S0"" F-2.75"" DEPOch` BARNYARD Fialling Game"
https://m.media-amazon.com/images/I/51C6QTjKMRL.jpg,433914,width,50.0 millimetre,44mm 3Sm 22 6.3Smm
https://m.media-amazon.com/images/I/71Z4JztQSgL.jpg,271537,voltage,"[110.0, 120.0] volt","Outlet Inlet Voltage Powe! Max flow Rate' Cofd Lengti Quiet Workina 110-120v 1500w; 2,ohP 110gpm 3FT c0DB"
https://m.media-amazon.com/images/I/51bBJvwb+CL.jpg,894599,depth,165.0 millimetre,"2.6in 65MM 8X 165MM Rch3r Arti sl'p ""nalle Optical eliss"
https://m.media-amazon.com/images/I/71XxqG4WbSL.jpg,639090,item_weight,376.0 gram,"GODIVA Belgium MASTERPIECES (hu7OIb= AN ASSORTMENT OF OF CARAMEL MILK OZ (76g] 1926 wN CHOCOLATES LEGENDARY CHOCOLATE DARK BELGIUM, LiON OYSTER HAZELNUT CHOCOLATE CHOCOLATE Miik HEART; GANACHE HTHIBSC"
https://m.media-amazon.com/images/I/81xBQQB2q9L.jpg,529606,item_weight,623 gram,"1 YANKe Yr MOONLIT COVE 1965 CRIQUF AU CLAIR Dr ( UNE #n_ ""m *xno751"
https://m.media-amazon.com/images/I/41InQC10+LL.jpg,369753,item_volume,24.0 cup,Olst Solutioh 04 Acnes & Pimples Treatment! Fa Kny ArS Swn Y+ (iam uuJ @y Womy Wr *Chk: Vrtty 5 Sur P '0 {K? Ci Js(
https://m.media-amazon.com/images/I/51TMJqdz4dL.jpg,866516,width,15.0 centimetre,15cm/5.9in 1
https://m.media-amazon.com/images/I/61F05qvE3iL.jpg,638301,depth,30.0 inch,"Ppkopucv PRESENTATION #Ri Custet"" Sesiu 1e%: tj 'cred njce Icr Can. 60 Mark Il %0 tre Lc? Fetectl; Although tha GSP protector has muliple layers ol protectve materials. it I3 ultra-thin, and ns thickness mere 3 017(0 Zmm): Designed with 2 S0 round edg8 protectaxr provides very comlortable &nd smoOth surtace t0 grp, helping prevent tre edges from scratching your tingers during Instollaton. It iS 1""1 Ine"
https://m.media-amazon.com/images/I/61HXHFEEeeL.jpg,273748,item_weight,13.0 gram,1J40g DNn( onoa 4313403 REVER
https://m.media-amazon.com/images/I/516gk-pqqlL.jpg,752266,voltage,511.0 volt,
https://m.media-amazon.com/images/I/71CaCOFKK3L.jpg,524635,item_weight,30.0 gram,"TM MediLice Single Application Lice Formula Benefits 14DAYS WAsh IOmin PROTECTION FORMULA Action Wings Int PHARMA MediLice'' Lice Formula Renoves C Nymph , Nits Mme; Eggs MediLicej Provents Recurrcnce  Lia Fori # Renottt Lco, Yyaph, Nits- Etevont Jarr4xD 7{ FrJfi  Application _ Sitglee Lice, Aolafxa  Siegkt {195 Rfcditgeo"
https://m.media-amazon.com/images/I/51L8nen317L.jpg,278696,depth,2.5 inch,"2-1/2"" max: {"
https://m.media-amazon.com/images/I/51OuyI1duzS.jpg,131797,depth,5.0 inch,Fe 3 *
https://m.media-amazon.com/images/I/51KEI6Bri8L.jpg,120219,height,27.0 centimetre,3 12.2cm
https://m.media-amazon.com/images/I/71to+PoTy9L.jpg,254449,item_weight,200.0 milligram,"DIRECTIONS: Adults: take capsule per day; or as directed by a healthcare practitioner CAUTIONS: Do not use if safety seal under cap is broken. Keep out of reach of children: NON MEDICINAL INGREDIENTS: vegetable-grade magnesium stearate, vegetable capsule Vegan and GMO-free. No binders, fillers, artificial flavours, colours, preservatives, sweeteners, com, SOY, gluten, wheat, or yeast. MEDICINAL INGREDIENTS INGREDIENTS MEDICINAUX Each capsule contains Chaque capsule contient Magnesium 200mg Magnesium Gcre Tgeiaieidd Melangcnyciyde deragnesun 8rnge magnesium glycinate chelate) chelate de glycinate de magnesium) MODE D'EMPLOI: Adultes: prendre capsule par jour ou selon I'avis d'un praticien de soins N AT U R A L S= de sante. MISES EN GARDE: Ne pas utiliser si le sceau sous le bouchon est brise. Tenir hors de porlee des enfants: INGREDIENTS NON MEDICINAUX: stearate demagnesium de grade vegetal, capsuk vegetele Convient aux vegetaliens et sans OGM Sans agents liants, agents de remplissage, aromes artiiciels, colorants, agents de conservation; edulcorants, produits laitiers, mais, soya, gluten , ble ni levure. dairy;"
https://m.media-amazon.com/images/I/71YkM1vA2dL.jpg,308856,item_weight,482 gram,in our heart (onever
https://m.media-amazon.com/images/I/51f1QeE6QYL.jpg,648011,height,75.0 millimetre,Abmessungen Fw15ZS 75 mm 101 mm FWi5ZS 1016 mm 1560 mm 62
https://m.media-amazon.com/images/I/81r0neFw-YL.jpg,297918,item_weight,100.0 gram,"Dark Chocolate Nutrition Facts _ 0 Nahrwertangaben 100g 45g Energy (kU) / Energie (ku) _ 2375 k 1069 kJ Energy (kcal) / Energie (kcal) 572 kcal 257 kcal LLABERcot Fat _ Fett g ofwhich saturates _ VEGAN davon gesattigte Fettsauren 12,6 g 5,7 g Carbohydrate / Kohlenhydrate_ 32,49 14,6g ofwhich sugars davon Zucker 20,4 9 9,2 9 Fiber Ballaststoffe 2,5 g Protein _ Eiweic _ 14,8g 6,7 g GR-BIO-01 Salt = Salz _ 0,50 g 0,23 g EU/non-EU Agriculture 1 Serving 1 Portion EN} Organic almond bar with chocolate, hazelnuts and peanuts. Ingre- dients: Dark chocolate 22% (cocoa mass 72%, coconut blossom sugar; cocoa butter) , almonds 19%, hazelnuts15%, peanuts 13%, rice syrup, sunflower seeds, agave syrup; rice flour; sunflower oil, sea salt; contain traces 0f Soy; milk; other nuts and sesame: contain hard pieces of nutshells, fruit pits or stones All ingredients, except sea salt; are from controlled organic cultivation. Manufactured in the EU. With ingredients from EU and non-EU. DE Bio-Mandelriegel mit Schokolade, Haselniissen und Erdniissen. Zutaten: Dunkle Schokolade 22% (Kakaomasse 72%, Kokosblitenzucker; Kakaobutter), Mandeln 19%, Haselniisse 15%, Erdniisse 13%, Reissirup, Sonnenblumenkerne, Agavendicksaft; Reismehl, Sonnenblumendl, Meersalz Kann Spuren von Soja, Milch; anderen Schalenfrichten und Sesam enthalten. Trotz sorgfaltiger Kontrollen kann dieses Produkt harte Bestandteile wie Schalenreste, Fruchtkernreste oder Steine enthalten: Alle Zutaten, bis auf Meersalz, sind aus kontrolliert biologischem Anbau: Hergestellt in der EU. Mit Zutaten aus EU und nicht-EU; H-B-J-4Sa-2 ~eANATiok 1 18,6 = 41,3 g 5,59 45g = May May"
https://m.media-amazon.com/images/I/710+QRcBzTL.jpg,558374,item_weight,23.81 ounce,#IAJMOLA CANDY AAV L CHULEuE! t HARD CAND AZE.A
https://m.media-amazon.com/images/I/51doQDVh9bL.jpg,725915,width,1.5 inch,1V2' fl-
https://m.media-amazon.com/images/I/81LcD0EbquL.jpg,375816,item_weight,186.0 gram,NEScAFE Bosce
https://m.media-amazon.com/images/I/51UF8RuRxmL.jpg,478357,width,30.0 centimetre,78n27 1 I 30cm 30cm
https://m.media-amazon.com/images/I/51XVYns3-BL.jpg,149159,width,19.0 centimetre,19cm Bcm Scn 22cm 10cn 19cm
https://m.media-amazon.com/images/I/61Rqd5m9MzL.jpg,993359,item_weight,10.0 gram,# R # 8 8 8 8 8
https://m.media-amazon.com/images/I/618jf3VcOdL.jpg,638301,depth,1.0 metre,0 118km MEMODE 0 km/h PWR 143 km ECO NORMAL CHG SPORT #Art halten SNOW ReAjy 7c 6c 48 I0 6 0.0 4951
