image_link,group_id,entity_name,entity_value,Extracted
https://m.media-amazon.com/images/I/51rOjk+XCEL.jpg,675317,depth,56.0 millimetre,s 56mmi221 37mml146
https://m.media-amazon.com/images/I/5193Qm2eIvL.jpg,675317,width,25.0 millimetre,
https://m.media-amazon.com/images/I/61+3GFnpu5L.jpg,493268,depth,10.2 centimetre,102cmjain wide range of applications suitable for kitc henl tathroon and outdoor surfaces inclucing wheals iterior carpetss 102cmjain dec leather tathtubs glass oration stowvers tiles irte
https://m.media-amazon.com/images/I/615Y6Hm0MHL.jpg,558806,height,9.22 inch,s7in 5 14 crm birthany 92 23 3 d in cm
https://m.media-amazon.com/images/I/61csA57PYkL.jpg,192132,item_weight,3.0 gram,color and rich interesting in fun matching picture fun game kdepoch s 9oe barnyard matching game s s qa h275 d
https://m.media-amazon.com/images/I/51C6QTjKMRL.jpg,433914,width,50.0 millimetre,4amm bsmmse 22 e3smm
https://m.media-amazon.com/images/I/71Z4JztQSgL.jpg,271537,voltage,"[110.0, 120.0] volt",outlet inlet powet voltace cord quiet vorking flsw rate lengtin maa ttoizon sowrs sods sft tiogps
https://m.media-amazon.com/images/I/51bBJvwb+CL.jpg,894599,depth,165.0 millimetre,281n bsmm 8x iesmm rl bour ts arti sl anelle p optical slass
https://m.media-amazon.com/images/I/71XxqG4WbSL.jpg,639090,item_weight,376.0 gram,godiva belgium 1026 masterpieces kua ccumuise of assortment an chocolates legendary chocolate dark belgium of lion oyster caramel hazelnut chocolate chocolate mik milk heart ganache s1g rnetmibial dz
https://m.media-amazon.com/images/I/81xBQQB2q9L.jpg,529606,item_weight,623 gram,d yanke fitc moonlit cove 1966 criouf clair au de lunje stpuos cott exsntt
https://m.media-amazon.com/images/I/41InQC10+LL.jpg,369753,item_volume,24.0 cup,lest solution fom pimples acnes 8 treatment sun fot tta affy ler rin lr uind ty iorrar her t rhic varinty furr c fo ci p zlre jil
https://m.media-amazon.com/images/I/51TMJqdz4dL.jpg,866516,width,15.0 centimetre,15cmisiin s jlcn s
https://m.media-amazon.com/images/I/61F05qvE3iL.jpg,638301,depth,30.0 inch,h product presentation hre lt be cesiyt clstar lcs lee can ed prark ta cred fcr tre cetectty lt ta il is maice jo trn jad gsp although tne muliple of ultrathin and thickness protector has layers protective materials rts it mere is is j0110 imml cesigned z sd comfrtable wth round and smcoth surtace edge tne protectix provices to very a inelping tre edges froam scratching fingers djring prevent installation grps your
https://m.media-amazon.com/images/I/61HXHFEEeeL.jpg,273748,item_weight,13.0 gram,fadod innc denjyo3 innoa pever
https://m.media-amazon.com/images/I/516gk-pqqlL.jpg,752266,voltage,511.0 volt,
https://m.media-amazon.com/images/I/71CaCOFKK3L.jpg,524635,item_weight,30.0 gram,medilice tm single application lice formula benefits 141 days 10 min wash protection action formula lodloo wings pharma eieroe medilice tre foafl formula licc application singles renoves liced nymply nits l eggs wings medilice prevents recurrence as poit liee aphiatias siagkes remotes lict nyaph mits lfgs ftrints recurftence
https://m.media-amazon.com/images/I/51L8nen317L.jpg,278696,depth,2.5 inch,2121 max s
https://m.media-amazon.com/images/I/51OuyI1duzS.jpg,131797,depth,5.0 inch,so see od res te fe ec csd get ca st uns ivaets ss to
https://m.media-amazon.com/images/I/51KEI6Bri8L.jpg,120219,height,27.0 centimetre,y s 122cm
https://m.media-amazon.com/images/I/71to+PoTy9L.jpg,254449,item_weight,200.0 milligram,directions adults directed healthcare take capsule day by practitioner per or as a cautions do if safety under broken keep out of reach of children not use seal cap is non medicinal ingredients vegetablegrade magnesium stearates vegetabie capsule gmofree binderss artificial vegan and no fillers flavours colours preservatives sweetenerss dairy wheat glutens yeast corn soy or ingredients medicinaux medicinal ingredients sange each contains chaque contient capsule capsule 2oomg magnesium magnesium glycinate melange glycinate blend de magnesium magnesium de magnesium glycine magnesium oxide iglycines oxyde de magnesium glycinate chelatel chelate glycinate de magnesiumj de mode demplol adultes praticien prendre jour selon lavis di un de soins capsule par ou de sante mises en garde brise tenir hors ne utiliser si le le bouchon de poree sceau sous est pas des enfants medicinaux ingredients non vegetale stearate de magnesium de grade vegetal capsule convient vegetaliens ogm sans liants de aromes et agents agents remplissages aux sans artificiels consenvation edulcorants produits laitiers colorants agents de maiss gluten soya ble ni levure
