image_link,group_id,entity_name,entity_value,Extracted
https://m.media-amazon.com/images/I/51rOjk+XCEL.jpg,675317,depth,56.0 millimetre,"56mm/2.21"" 37mm/1.46'"
https://m.media-amazon.com/images/I/5193Qm2eIvL.jpg,675317,width,25.0 millimetre,40mm/1.6in 116mm/4.5in 25mm 180mm/7in Depth: 4.8mm
https://m.media-amazon.com/images/I/61+3GFnpu5L.jpg,493268,depth,10.2 centimetre,"10.2cm/4in WIDE RANGE OF APPLICATIONS Suitable for kitchen,bathroom and outdoor 10.2cm/4in surfaces,including:wheels, carpets,interior decoration, glass,leather,bathtubs showers,tiles, etc"
https://m.media-amazon.com/images/I/615Y6Hm0MHL.jpg,558806,height,9.22 inch,5.7 in/14.5 cm Happy Birthoay 9.2 in/23.3 cm
https://m.media-amazon.com/images/I/61csA57PYkL.jpg,192132,item_weight,3.0 gram,"Rich In Color Fun And Interesting Fun Picture Matching Game KDEPOCH 5.90' BARNYARD Matching Game SETS 16 5 3+ 6 2.75"""
https://m.media-amazon.com/images/I/51C6QTjKMRL.jpg,433914,width,50.0 millimetre,20000RPM 50mm 8 1mmX0.8X6.35 44mm HSS D W 35mmX0.8X6.35 20000RPM 20000RPM 32mmX0.7X6.35 35mm HSS 32mm 22mna 6.35mm
https://m.media-amazon.com/images/I/71Z4JztQSgL.jpg,271537,voltage,"[110.0, 120.0] volt",SPECIFICATION Outlet Inlet Voltage Power Max Flow Rate Cord Length Quiet Working 110-120V 1500W/2.0HP 110GPM 3FT 60DB
https://m.media-amazon.com/images/I/51bBJvwb+CL.jpg,894599,depth,165.0 millimetre,2.6in 65MM 8X 165MM Rubber Anti-slip handle Optical glass
https://m.media-amazon.com/images/I/71XxqG4WbSL.jpg,639090,item_weight,376.0 gram,"GODIVA Belgium 1926 MASTERPIECES GODIVA ENLARGETO SHOW DETAIL AN ASSORTMENT OF LEGENDARY CHOCOLATES MILK CHOCOLATE CARAMEL LION OF BELGIUM,DARK CHOCOLATE GANACHE HEART, MILK CHOCOLATE HAZELNUT OYSTER NETWT13.25 0Z. (36 g)"
https://m.media-amazon.com/images/I/81xBQQB2q9L.jpg,529606,item_weight,623 gram,YANKee CANDLe MOONLIT COVE 1969 CRIQUE AU CLAIR DE LUNE 623 g
https://m.media-amazon.com/images/I/41InQC10+LL.jpg,369753,item_volume,24.0 cup,BEST SOLUTION FOR Acnes & Pimples Treatment! For Any Age Skin Type Can Be Used By Woman Man & Child Variety of Size 24 UP TO 24HROFUSE HOURS
https://m.media-amazon.com/images/I/51TMJqdz4dL.jpg,866516,width,15.0 centimetre,15cm/5.9in 10cm/3.9in
https://m.media-amazon.com/images/I/61F05qvE3iL.jpg,638301,depth,30.0 inch,"PRODUCTPRESENTATION Presentation GLASS LCD SCREEN PROTECTOR Custom Designed It is tailored made for Can. 6D Mark l to fit the LCD perfectly Ultra-Thin 0.3 Uitra-thin Ultra-thin 2.5D Round Edge Although the GSP protector has multiple layers of protective materials, it is ultra-thin, and its thickness is mere 0.010.3mm).Designed with 2.5D round edge, the protector provides a very comfortable and smooth surface to grip, helping prevent the edges from scratching your fingers during installation. 030"
https://m.media-amazon.com/images/I/61HXHFEEeeL.jpg,273748,item_weight,13.0 gram,FOREVE OUNG FOREVER YOUNG
https://m.media-amazon.com/images/I/516gk-pqqlL.jpg,752266,voltage,511.0 volt,Solar led lights --LED Solar LED-Leuchten Lumieres LED Solaires Luci a LED Solari Luces LED Solares CEFC Made in China
https://m.media-amazon.com/images/I/71CaCOFKK3L.jpg,524635,item_weight,30.0 gram,"MediLice TM Single Application Lice Formula Benefits 1 14DAYS 10 min WASH PROTECTION FORMULA Action 30g WINGS PHARMA MediLice SENTREBOTLENONENASR Removes Lice, Nymph,Nits& 30g SONIA Eggs MediLice"" Prevents www.medic.in Recurrence Removes Lice Nymph,Nits& Eggs Prevents Recurrence"
https://m.media-amazon.com/images/I/51L8nen317L.jpg,278696,depth,2.5 inch,"2-1/2"" max."
https://m.media-amazon.com/images/I/51OuyI1duzS.jpg,131797,depth,5.0 inch,HOME
https://m.media-amazon.com/images/I/51KEI6Bri8L.jpg,120219,height,27.0 centimetre,27cm 12.2cm
https://m.media-amazon.com/images/I/71to+PoTy9L.jpg,254449,item_weight,200.0 milligram,"DIREcTioNs:Adults:take 1 capsule per day, or as directed by a healthcare practitioner. CAUTioNs:Do not use if safety seal under cap is broken.Keep out of reach of children. NON MEDICINAL INGREDIENTS:vegetable-grade magnesium stearate,vegetable capsule. Vegan and GMO-free.No binders fillersartificial flavourscolourspreservativessweeteners dairy, corn, soy, gluten, wheat, or yeast. MEDICINAL INGREDIENTS INGREDIENTSMEDICINAUX orange Each capsule contains Chaque capsule contient Magnesium.... 200mg ....Magnesium. Magnesium glycinate blend Melange de glycinate de magnesium (glycine,magnesium oxide, (glycine, oxyde de magnesium, magnesium glycinate chelate chelate de glycinate de magnesium) NATURALS MODE D'EMPLOl:Adultes:prendre 1 capsule par jour ou selon I'avis d'un praticien de soins de sante. MISEs EN GARDE: Ne pas utiliser si le sceau sous le bouchon est brise.Tenir hors de portee des enfants. INGREDIENTS NON MEDICINAUX:stearate de magnesium de grade vegetal,capsule vegetale Convient aux vegetaliens et sans OGM.Sans agents liants,agents de remplissage, aromes artificielscolorantsagents de conservationedulcorantsproduits laitiers,maissoya,gluten, ble ni levure."
https://m.media-amazon.com/images/I/71YkM1vA2dL.jpg,308856,item_weight,482 gram,Product Size. Product weight:482G 12.2cm 12.5cm foreven in ounheart 18cm
https://m.media-amazon.com/images/I/51f1QeE6QYL.jpg,648011,height,75.0 millimetre,Abmessungen FW121 FW122/FW122S FW151 FW152/FW152S 75mm 75 mm 73 mm 101mm FW151/FW152/FW152S 1016mm 1560 mm FW121/FW122/FW122S 830.mm 1260mm
https://m.media-amazon.com/images/I/81r0neFw-YL.jpg,297918,item_weight,100.0 gram,"Dark Chocolate  Nutrition Facts / o Nahrwertangaben 100 g 45g Energy (kJ)/ Energie (kJ) ... 2375 kJ 1069 kJ Energy (kcal) / Energie (kcal) ..  572 kcal 257 kcal ABEL.C Fat / Fett .. 18,6 g 41,3 g VEGAN of which saturates /.. . 12,6 g 5,7 g davon gesattigte Fettsauren . 32,4 g 14,6 g Carbohydrate/Kohlenhydrate . 20,4 g of which sugars / davon Zucker 9,2 g Fiber / Ballaststoffe .. .. 5,5 g 2,5 g ..14,8 g Protein/ EiweiB. 6,7 g GR-BIO-01 Salt / Salz .. .0,50 g 0,23 g EU/non-EU Agriculture 45 g = 1 Serving / 1 Portion EN Organic almond bar with chocolate, hazelnuts and peanuts. Ingre. dients: Dark chocolate 22% (cocoa mass 72%, coconut blossom sugar, cocoa butter), almonds 19%, hazeInuts15%, peanuts 13%, rice syrup, sunflower seeds, agave syrup, rice flour, sunflower oil, sea salt. May contain traces of soy, milk, other nuts and sesame. May contain hard pieces of nutshells, fruit pits or stones. All ingredients, except sea salt, are from controlled organic cultivation. Manufactured in the EU. With ingredients from EU and non-EU.. DE Bio-Mandelriegel mit Schokolade, Haselnussen und Erdnussen. Zutaten: Dunkle Schokolade 22% (Kakaomasse 72%, Kokosblutenzucker Kakaobutter), Mandeln 19%, Haselnusse 15%, Erdnusse 13%, Reissirup, Sonnenblumenkerne, Agavendicksaft, Reismehl, Sonnenblumenol, Meersalz. Kann Spuren von Soja, Milch, anderen Schalenfruchten und Sesam enthalten. Trotz sorgfaltiger Kontrollen kann dieses Produkt harte Bestandteile wie Schalenreste, Fruchtkernreste oder Steine enthalten. Alle Zutaten, bis auf Meersalz, sind aus kontrolliert biologischem Anbau. Hergestellt in der EU. Mit Zutaten aus EU und nicht-EU. H-B-J-45a-2"
https://m.media-amazon.com/images/I/710+QRcBzTL.jpg,558374,item_weight,23.81 ounce,HAJMOLA CANDY ALBELA AAM&CHULBUL IMLI HARD CANDY TAIMOL 10
https://m.media-amazon.com/images/I/51doQDVh9bL.jpg,725915,width,1.5 inch,"fl- 11/2"""
https://m.media-amazon.com/images/I/81LcD0EbquL.jpg,375816,item_weight,186.0 gram,Suggested Serving-Presentation suggeree NESCAFE Dolce Gusto CAPPUCCINO Gusto CAPPUCCINO 8 8 186 g CAPSULES OF ROAST AND GROUND COFFEE AND MILK MIX CAPSULES DE CAFE TORREFIE ET MOULU ET DE MELANGE DE LAIT
https://m.media-amazon.com/images/I/51UF8RuRxmL.jpg,478357,width,30.0 centimetre,55/60/65cm 30cm 30cm
https://m.media-amazon.com/images/I/51XVYns3-BL.jpg,149159,width,19.0 centimetre,19cm 8cm 15cm 22cm 10cm 19cm
https://m.media-amazon.com/images/I/61Rqd5m9MzL.jpg,993359,item_weight,10.0 gram,C C WOTBEE
https://m.media-amazon.com/images/I/618jf3VcOdL.jpg,638301,depth,1.0 metre,=DOE 118km P DRIVE MODE 0 143km PWR km/h ECO CHG NORMAL SPORT READY O 20 40 60 48% Lv1 6c 0.0kWh/100km 4951km
https://m.media-amazon.com/images/I/71Vlaa08lQL.jpg,318770,wattage,66.0 watt,Fast Data Transmission Backspace Home 4 Sending Me My Drive Recently deleted Network 66 Recent 4
https://m.media-amazon.com/images/I/61rzPIXxy5L.jpg,459516,item_weight,10 gram,.  B Composition :Each 10g contains Satavari (Asparagus racemosus) 2.00 gm Ela (Ekettaria cardmomum) 0.08gm Sarkara (Sucrose) Q.S. Indication :Useful for all age groups. Lactating mothers) or water or as advised by the physician. Aooove
https://m.media-amazon.com/images/I/71VvFufDQyL.jpg,273748,item_weight,0.46 kilogram,Weight:0.46kg 16cm 21cm*10cm*16cm 10cm 21cm Compare with 6.1inch cell phone pro & magazine
https://m.media-amazon.com/images/I/61sOkQwkFAS.jpg,523149,item_weight,2.5 gram,ABOUT PRODUCT INFORMATION SIZE 0.2cm NAME: Sakura SERIES:Ring METAL:925 sterling silver MATERIAL: Plated platinum SIZE:0.2cm(around) WEIGHT:2.5g (around) The size of the product is measured manually.There may be some errors. Please take the actual product as the standard
https://m.media-amazon.com/images/I/81OFyxQHqTL.jpg,407921,item_weight,148.0 gram,Handheld and Portable MNOP e GH No battery No ink Simple Weighs required required Operation 148g ABCDEF
https://m.media-amazon.com/images/I/612vRUx2qTL.jpg,521308,height,35.0 inch,"Length1- 114"" Length 2 - 92"" Height 35"" Width 35"""
https://m.media-amazon.com/images/I/61CJESj9xyL.jpg,221399,maximum_weight_recommendation,200 kilogram,Hanging Accessories PATIOFY Included COMFORT AT YOUR DOOR STEP Weight Loading. Capacity upto 200 Kgs High Strenght Stainless Steel 360 Degree Rotating Spring Hook 4 Ft Chain & 2 SHook
https://m.media-amazon.com/images/I/513dFWz-+FL.jpg,244283,height,4.3 inch,120 270 180o .06  0.8in .6in 5 (4 12.2in 4.3in
https://m.media-amazon.com/images/I/71fxPTzkAZL.jpg,709627,item_weight,0.46 pound,PRODUCT DETAILS 1200mAh 6S1P 22.2V 120C Capacity Configuration Voltage Discharge Rate OVONIC HIGH 38mm DISCHARGE 1200!20c (1.4 inch) mAh 651P 22.2V 26.64WH 38mm 1.4 inch) 76mm (4.2 inch) 602 JST-XHR-7P XT 60 Soft Case Weight (0.46lb)
https://m.media-amazon.com/images/I/518EhSmGD-L.jpg,648011,height,80.0 millimetre,50mm/2in 80mm/3.15in
https://m.media-amazon.com/images/I/71j7ac3fd2L.jpg,254449,item_weight,200.0 milligram,Softbear 99 mg Potassium Citrate POTASSIUM 200 mg MAGNESIUM MagnesiumL-Threonate HIGH ABSORPTION 400 mg ** SUGARFRE Magnesium Citrate SUSARFRE Leg Cramps &Muscle&Immune The Updated Formula -
https://m.media-amazon.com/images/I/81mJAzjpAoS.jpg,396159,item_weight,12.0 gram,RIVER SINCE 1876 Germ Buster. A 12 Antimicrobial Bar Mops 16x19 ANTIMICROBIAL FIGHTS BACTERIA UP TO2O WASHES ANTI-ODOR MULTI-SURFACE Features SILVADUR ogy from DUPONTe
https://m.media-amazon.com/images/I/61F-nZjw5pL.jpg,931247,width,4.0 foot,TABLECLOTH SIZE : 4FT Wide Length Tablecloth Size Guide Table Shape Size Wide Length Rectangle One Size 2.5ft/76cm 4ft/122cm * Please allows O.5inch-1inch differs because of the manual measurement
https://m.media-amazon.com/images/I/712Yh2iwW+L.jpg,881883,item_weight,2.0 ton,Simple Installation Steps 1.Hang the shower curtain.ring 2.Hang the shower curtain 3.Installation is complete on the pole. on the shower curtain ring
https://m.media-amazon.com/images/I/516B3hXD16L.jpg,916768,depth,9.0 inch,5.4 Inch / 13.7 cm 4.1Inch/10.3 cm 9 Inch/22.9 cm
https://m.media-amazon.com/images/I/61hr1gcL80L.jpg,523149,item_weight,14.0 gram,Electroplating process i High quality fine steel niR OIEL+ MAAN oxn RAP 18mm High polished Weight:14g
https://m.media-amazon.com/images/I/618gi8GZT7L.jpg,358166,depth,14.0 metre,Download on the App Store Paiactive ANDROIDAPP ON Google play 9:14 AM Free jump Counts 216 Time consumed 01:31 Consumption (kcal) 15.17
https://m.media-amazon.com/images/I/61Bit63fSOL.jpg,492950,height,26.5 centimetre,SIZING SPECIFICATION 1.18inch/3cm 10.43inch/26.5cm YOU CAN WRAP 37 DUMPLINGS AT A TIME
