image_link,group_id,entity_name,entity_value,Extracted
https://m.media-amazon.com/images/I/51rOjk+XCEL.jpg,675317,depth,56.0 millimetre,5 3
https://m.media-amazon.com/images/I/5193Qm2eIvL.jpg,675317,width,25.0 millimetre,1 4 2 1 D
https://m.media-amazon.com/images/I/61+3GFnpu5L.jpg,493268,depth,10.2 centimetre,1 W S s 1 d s
https://m.media-amazon.com/images/I/615Y6Hm0MHL.jpg,558806,height,9.22 inch,5 t B 9
https://m.media-amazon.com/images/I/61csA57PYkL.jpg,192132,item_weight,3.0 gram,R F K 5 B M S 1 6 3 2
https://m.media-amazon.com/images/I/51C6QTjKMRL.jpg,433914,width,50.0 millimetre,2 5 m 4 H 3 2 3 2 3 3 H 8 H 2 2 6
https://m.media-amazon.com/images/I/71Z4JztQSgL.jpg,271537,voltage,"[110.0, 120.0] volt",S O I V P M C Q 1 1 1 3 6
https://m.media-amazon.com/images/I/51bBJvwb+CL.jpg,894599,depth,165.0 millimetre,2 6 8 1 R A O
https://m.media-amazon.com/images/I/71XxqG4WbSL.jpg,639090,item_weight,376.0 gram,G B M G C E A L M G N
https://m.media-amazon.com/images/I/81xBQQB2q9L.jpg,529606,item_weight,623 gram,Y C S M 1 C D 6
https://m.media-amazon.com/images/I/41InQC10+LL.jpg,369753,item_volume,24.0 cup,B A T F C M V 2 U H
https://m.media-amazon.com/images/I/51TMJqdz4dL.jpg,866516,width,15.0 centimetre,1 1
https://m.media-amazon.com/images/I/61F05qvE3iL.jpg,638301,depth,30.0 inch,P P G C I U 0 U U 2 A 0
https://m.media-amazon.com/images/I/61HXHFEEeeL.jpg,273748,item_weight,13.0 gram,F O F R
https://m.media-amazon.com/images/I/516gk-pqqlL.jpg,752266,voltage,511.0 volt,S E S L L L C M
https://m.media-amazon.com/images/I/71CaCOFKK3L.jpg,524635,item_weight,30.0 gram,M T S B 1 1 1 W P F A 3 W P M U R N 3 W E P M P w R Y R N E P R
https://m.media-amazon.com/images/I/51L8nen317L.jpg,278696,depth,2.5 inch,2 m
https://m.media-amazon.com/images/I/51OuyI1duzS.jpg,131797,depth,5.0 inch,
https://m.media-amazon.com/images/I/51KEI6Bri8L.jpg,120219,height,27.0 centimetre,2 1
https://m.media-amazon.com/images/I/71to+PoTy9L.jpg,254449,item_weight,200.0 milligram,D N V d M I r E C n M 2 M M M ( g m c N d M d I a b
https://m.media-amazon.com/images/I/71YkM1vA2dL.jpg,308856,item_weight,482 gram,P P 1 1 f 1
https://m.media-amazon.com/images/I/51f1QeE6QYL.jpg,648011,height,75.0 millimetre,A F F F F 7 7 7 1 F 1 1 F 8 1
https://m.media-amazon.com/images/I/81r0neFw-YL.jpg,297918,item_weight,100.0 gram,D C o 1 4 E 2 1 E . 2 R F . 1 o V d 1 5 C . 1 o . 9 F . 2 P . 6 G S . 0 E 4 E O d b s m s M D B Z K S K T e S M Z H
https://m.media-amazon.com/images/I/710+QRcBzTL.jpg,558374,item_weight,23.81 ounce,H C A H C
https://m.media-amazon.com/images/I/51doQDVh9bL.jpg,725915,width,1.5 inch,f 1 +
https://m.media-amazon.com/images/I/81LcD0EbquL.jpg,375816,item_weight,186.0 gram,S N D G C C 8 8 1 C C
https://m.media-amazon.com/images/I/51UF8RuRxmL.jpg,478357,width,30.0 centimetre,5 3 3
https://m.media-amazon.com/images/I/51XVYns3-BL.jpg,149159,width,19.0 centimetre,1 8 1 2 1 1
https://m.media-amazon.com/images/I/61Rqd5m9MzL.jpg,993359,item_weight,10.0 gram,P H
https://m.media-amazon.com/images/I/618jf3VcOdL.jpg,638301,depth,1.0 metre,3 D 1 N R D 1 P k E N C S D h M R 0 2 4 6 L 0 4 4
https://m.media-amazon.com/images/I/71Vlaa08lQL.jpg,318770,wattage,66.0 watt,I F B H n S 0 △ M N S n R B 6 J R
https://m.media-amazon.com/images/I/61rzPIXxy5L.jpg,459516,item_weight,10 gram,5 8 o R d o （ d 8 C S . E 0 S - I H r L o b
https://m.media-amazon.com/images/I/71VvFufDQyL.jpg,273748,item_weight,0.46 kilogram,W 1 2 1 2 C c
https://m.media-amazon.com/images/I/61sOkQwkFAS.jpg,523149,item_weight,2.5 gram,A P I S S 0 N S M M S W T P
https://m.media-amazon.com/images/I/81OFyxQHqTL.jpg,407921,item_weight,148.0 gram,H a N N S W r r O 1 S 6 8
https://m.media-amazon.com/images/I/612vRUx2qTL.jpg,521308,height,35.0 inch,L L H W
https://m.media-amazon.com/images/I/61CJESj9xyL.jpg,221399,maximum_weight_recommendation,200 kilogram,H A P I C W C u H R 4
https://m.media-amazon.com/images/I/513dFWz-+FL.jpg,244283,height,4.3 inch,1 2 1 0 Φ 5 ( 1 4
